STATE,TEAM_FIRST_FAV,PCT_TKT_SOLD_FIRST_FAV,TEAM_SECOND_FAV,PCT_TKT_SOLD_SECOND_FAV
Alabama,Atlanta Braves,63,St. Louis Cardinals,6
Alaska,Seattle Mariners,38,Arizona Diamondbacks,9
Arizona,Arizona Diamondbacks,53,Chicago Cubs,12
Arkansas,St. Louis Cardinals,46,Texas Rangers,14
California,Los Angeles Dodgers,60,San Francisco Giants,21
Colorado,Colorado Rockies,83,Chicago Cubs,2
Connecticut,Boston Red Sox,41,New York Yankees,22
Delaware,Philadelphia Phillies,42,Baltimore Orioles,31
Florida,Miami Marlins,22,Tampa Bay Rays,17
Georgia,Atlanta Braves,85,Boston Red Sox,2
Hawaii,San Francisco Giants,22,Los Angeles Dodgers,19
Idaho,Seattle Mariners,38,Los Angeles Dodgers,10
Illinois,Chicago Cubs,42,St. Louis Cardinals,21
Indiana,Cincinnati Reds,27,Chicago Cubs,25
Iowa,Chicago Cubs,22,St. Louis Cardinals,20
Kansas,Kansas City Royals,86,St. Louis Cardinals,3
Kentucky,Cincinnati Reds,62,St. Louis Cardinals,12
Louisiana,Houston Astros,27,Texas Rangers,21
Maine,Boston Red Sox,72,Baltimore Orioles,6
Maryland,Baltimore Orioles,55,Washington Nationals,33
Massachusetts,Boston Red Sox,83,Washington Nationals,4
Michigan,Detroit Tigers,86,Chicago Cubs,3
Minnesota,Minnesota Twins,70,Los Angeles Dodgers,7
Mississippi,Atlanta Braves,31,St. Louis Cardinals,26
Missouri,St. Louis Cardinals,48,Kansas City Royals,43
Montana,Seattle Mariners,27,Colorado Rockies,12
Nebraska,Kansas City Royals,52,Colorado Rockies,10
Nevada,Los Angeles Dodgers,25,San Francisco Giants,22
New Hampshire,Boston Red Sox,80,Baltimore Orioles,3
New Jersey,New York Yankees,26,Philadelphia Phillies,23
New Mexico,Texas Rangers,17,Arizona Diamondbacks,17
New York,New York Mets,32,New York Yankees,30
North Carolina,Atlanta Braves,28,Washington Nationals,11
North Dakota,Minnesota Twins,55,Chicago Cubs,9
Ohio,Cincinnati Reds,38,Cleveland Guardians,34
Oklahoma,Texas Rangers,28,Kansas City Royals,19
Oregon,Seattle Mariners,51,San Francisco Giants,15
Pennsylvania,Pittsburgh Pirates,60,Philadelphia Phillies,19
Rhode Island,Boston Red Sox,77,New York Yankees,5
South Carolina,Atlanta Braves,45,Boston Red Sox,9
South Dakota,Minnesota Twins,50,Colorado Rockies,12
Tennessee,Atlanta Braves,32,St. Louis Cardinals,25
Texas,Texas Rangers,51,Houston Astros,31
Utah,Los Angeles Dodgers,16,San Francisco Giants,14
Vermont,Boston Red Sox,61,New York Yankees,8
Virginia,Washington Nationals,72,Baltimore Orioles,11
Washington,Seattle Mariners,90,San Francisco Giants,2
West Virginia,Pittsburgh Pirates,51,Cincinnati Reds,21
Wisconsin,Milwaukee Brewers,78,Chicago Cubs,6
Wyoming,Colorado Rockies,67,Arizona Diamondbacks,4
